ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-07-01,7961.164154311347,7049.341812455477,9274.95745930928,7881.548981497126,8042.210754478783,198.98802426699044,198.98802426699044,198.98802426699044,198.98802426699044,198.98802426699044,198.98802426699044,0.0,0.0,0.0,8160.152178578338
2024-08-01,8020.786292089353,7106.279314391898,9208.150613141457,7920.642304275917,8120.82417251399,174.89183587652275,174.89183587652275,174.89183587652275,174.89183587652275,174.89183587652275,174.89183587652275,0.0,0.0,0.0,8195.678127965875
2024-09-01,8080.408429867357,6505.033629414663,8717.867865490796,7955.52210087947,8201.370939631115,-474.5816613607619,-474.5816613607619,-474.5816613607619,-474.5816613607619,-474.5816613607619,-474.5816613607619,0.0,0.0,0.0,7605.826768506595
2024-10-01,8138.10727287833,7064.7913546046375,9146.010827047086,7993.851724261763,8277.202621803879,-60.60911591683303,-60.60911591683303,-60.60911591683303,-60.60911591683303,-60.60911591683303,-60.60911591683303,0.0,0.0,0.0,8077.498156961497
2024-11-01,8197.729410656335,7928.056507163644,10054.965640495822,8035.372509754663,8356.837024141068,823.2953398691471,823.2953398691471,823.2953398691471,823.2953398691471,823.2953398691471,823.2953398691471,0.0,0.0,0.0,9021.024750525483
2024-12-01,8255.428253667307,7849.179811186348,10098.26068544257,8064.650904006404,8436.597522913924,668.3503355164822,668.3503355164822,668.3503355164822,668.3503355164822,668.3503355164822,668.3503355164822,0.0,0.0,0.0,8923.77858918379
2025-01-01,8315.050391445313,7131.495896343965,9326.169895947367,8097.96429553272,8521.781526114586,-98.4542447484687,-98.4542447484687,-98.4542447484687,-98.4542447484687,-98.4542447484687,-98.4542447484687,0.0,0.0,0.0,8216.596146696844
2025-02-01,8374.672529223317,6381.173749310128,8479.614173338095,8131.722090970833,8605.93981325659,-971.9684044175556,-971.9684044175556,-971.9684044175556,-971.9684044175556,-971.9684044175556,-971.9684044175556,0.0,0.0,0.0,7402.704124805761
2025-03-01,8428.524782700226,8064.67394808298,10312.648243026739,8154.493934302119,8682.925341945176,732.1583873789956,732.1583873789956,732.1583873789956,732.1583873789956,732.1583873789956,732.1583873789956,0.0,0.0,0.0,9160.68317007922
2025-04-01,8488.14692047823,6723.0764056195585,8913.600512279949,8180.960636842808,8765.84856988134,-646.980409730538,-646.980409730538,-646.980409730538,-646.980409730538,-646.980409730538,-646.980409730538,0.0,0.0,0.0,7841.166510747692
